timestamp_ms,bus_raw,bus_voltage_v,current_raw,current_ma,power_raw,power_mw,target,standby_mode
31503,3905,4.88125,274,27.4,54,135,M5StackUnitCam,full
32503,3903,4.87875,274,27.4,54,135,M5StackUnitCam,full
33503,3903,4.87875,274,27.4,54,135,M5StackUnitCam,full
34503,3906,4.8825,274,27.4,54,135,M5StackUnitCam,full
35503,3905,4.88125,274,27.4,54,135,M5StackUnitCam,full
36503,3902,4.8775,274,27.4,54,135,M5StackUnitCam,full
37503,3904,4.88,275,27.5,54,135,M5StackUnitCam,full
38503,3920,4.9,46,4.6,9,22.5,M5StackUnitCam,full
39503,3910,4.8875,239,23.9,47,117.5,M5StackUnitCam,full
40503,3912,4.89,234,23.4,46,115,M5StackUnitCam,full
41503,3884,4.855,863,86.3,168,420,M5StackUnitCam,full
42503,3887,4.85875,775,77.5,150,375,M5StackUnitCam,full
43503,3887,4.85875,774,77.4,150,375,M5StackUnitCam,full
44503,3858,4.8225,1507,150.7,291,727.5,M5StackUnitCam,full
45503,3862,4.8275,1319,131.9,255,637.5,M5StackUnitCam,full
46503,3857,4.82125,1429,142.9,275,687.5,M5StackUnitCam,full
47503,3856,4.82,1402,140.2,270,675,M5StackUnitCam,full
48503,3860,4.825,1407,140.7,271,677.5,M5StackUnitCam,full
49503,3857,4.82125,1397,139.7,269,672.5,M5StackUnitCam,full
50503,3860,4.825,1400,140,270,675,M5StackUnitCam,full
51503,3863,4.82875,1326,132.6,256,640,M5StackUnitCam,full
52503,3863,4.82875,1326,132.6,256,640,M5StackUnitCam,full
53503,3862,4.8275,1317,131.7,254,635,M5StackUnitCam,full
54503,3860,4.825,1317,131.7,254,635,M5StackUnitCam,full
55503,3864,4.83,1320,132,255,637.5,M5StackUnitCam,full
56503,3864,4.83,1329,132.9,257,642.5,M5StackUnitCam,full
57503,3864,4.83,1330,133,257,642.5,M5StackUnitCam,full
58503,3864,4.83,1313,131.3,253,632.5,M5StackUnitCam,full
59503,3864,4.83,1318,131.8,255,637.5,M5StackUnitCam,full
60503,3864,4.83,1321,132.1,255,637.5,M5StackUnitCam,full
61503,3864,4.83,1322,132.2,256,640,M5StackUnitCam,full
62503,3862,4.8275,1323,132.3,256,640,M5StackUnitCam,full
63503,3859,4.82375,1320,132,255,637.5,M5StackUnitCam,full
64503,3863,4.82875,1315,131.5,254,635,M5StackUnitCam,full
65503,3863,4.82875,1322,132.2,255,637.5,M5StackUnitCam,full
66503,3908,4.885,235,23.5,46,115,M5StackUnitCam,full
