timestamp_ms,bus_raw,bus_voltage_v,current_raw,current_ma,power_raw,power_mw,target,standby_mode
2103,3910,4.8875,232,23.2,46,115,M5StackUnitCam,minimal
2306,3902,4.8775,235,23.5,46,115,M5StackUnitCam,minimal
3113,3907,4.88375,232,23.2,46,115,M5StackUnitCam,minimal
4113,3907,4.88375,231,23.1,44,110,M5StackUnitCam,minimal
5113,3910,4.8875,230,23,44,110,M5StackUnitCam,minimal
6113,3907,4.88375,230,23,44,110,M5StackUnitCam,minimal
7113,3906,4.8825,229,22.9,45,112.5,M5StackUnitCam,minimal
8113,3909,4.88625,228,22.8,44,110,M5StackUnitCam,minimal
9113,3910,4.8875,227,22.7,44,110,M5StackUnitCam,minimal
10113,3910,4.8875,226,22.6,44,110,M5StackUnitCam,minimal
11113,3907,4.88375,226,22.6,44,110,M5StackUnitCam,minimal
12113,3910,4.8875,226,22.6,44,110,M5StackUnitCam,minimal
13113,3909,4.88625,226,22.6,44,110,M5StackUnitCam,minimal
14113,3920,4.9,0,0,0,0,M5StackUnitCam,minimal
15113,3907,4.88375,302,30.2,59,147.5,M5StackUnitCam,minimal
16113,3907,4.88375,232,23.2,46,115,M5StackUnitCam,minimal
17113,3885,4.85625,796,79.6,154,385,M5StackUnitCam,minimal
18113,3887,4.85875,772,77.2,150,375,M5StackUnitCam,minimal
19113,3885,4.85625,772,77.2,150,375,M5StackUnitCam,minimal
20113,3849,4.81125,1710,171,328,820,M5StackUnitCam,minimal
21113,3844,4.805,1750,175,336,840,M5StackUnitCam,minimal
22113,3853,4.81625,1701,170.1,327,817.5,M5StackUnitCam,minimal
23113,3847,4.80875,1744,174.4,335,837.5,M5StackUnitCam,minimal
24123,3837,4.79625,2021,202.1,387,967.5,M5StackUnitCam,minimal
25123,3863,4.82875,1332,133.2,257,642.5,M5StackUnitCam,minimal
26123,3866,4.8325,1325,132.5,256,640,M5StackUnitCam,minimal
27123,3866,4.8325,1323,132.3,256,640,M5StackUnitCam,minimal
28123,3862,4.8275,1325,132.5,256,640,M5StackUnitCam,minimal
29123,3862,4.8275,1321,132.1,255,637.5,M5StackUnitCam,minimal
30123,3865,4.83125,1328,132.8,257,642.5,M5StackUnitCam,minimal
31123,3865,4.83125,1334,133.4,258,645,M5StackUnitCam,minimal
32123,3865,4.83125,1330,133,257,642.5,M5StackUnitCam,minimal
33123,3864,4.83,1321,132.1,255,637.5,M5StackUnitCam,minimal
34123,3909,4.88625,236,23.6,46,115,M5StackUnitCam,minimal
35123,3909,4.88625,236,23.6,46,115,M5StackUnitCam,minimal
36123,3909,4.88625,236,23.6,46,115,M5StackUnitCam,minimal
37123,3907,4.88375,236,23.6,46,115,M5StackUnitCam,minimal
38123,3906,4.8825,236,23.6,46,115,M5StackUnitCam,minimal
39123,3909,4.88625,236,23.6,46,115,M5StackUnitCam,minimal
40123,3908,4.885,236,23.6,46,115,M5StackUnitCam,minimal
41123,3906,4.8825,236,23.6,46,115,M5StackUnitCam,minimal
42123,3906,4.8825,236,23.6,46,115,M5StackUnitCam,minimal
43123,3909,4.88625,237,23.7,46,115,M5StackUnitCam,minimal
44123,3909,4.88625,236,23.6,46,115,M5StackUnitCam,minimal
45124,3905,4.88125,236,23.6,47,117.5,M5StackUnitCam,minimal
46123,3907,4.88375,236,23.6,46,115,M5StackUnitCam,minimal
47123,3909,4.88625,236,23.6,46,115,M5StackUnitCam,minimal
48123,3909,4.88625,236,23.6,46,115,M5StackUnitCam,minimal
49123,3909,4.88625,235,23.5,46,115,M5StackUnitCam,minimal
50123,3908,4.885,235,23.5,46,115,M5StackUnitCam,minimal
