timestamp_ms,bus_raw,bus_voltage_v,current_raw,current_ma,power_raw,power_mw,target,standby_mode
39313,3905,4.88125,236,23.6,46,115,M5StackUnitCam,off
40313,3903,4.87875,236,23.6,46,115,M5StackUnitCam,off
41313,3900,4.875,235,23.5,46,115,M5StackUnitCam,off
42313,3902,4.8775,235,23.5,46,115,M5StackUnitCam,off
43313,3904,4.88,236,23.6,46,115,M5StackUnitCam,off
44313,3923,4.90375,0,0,0,0,M5StackUnitCam,off
45313,3908,4.885,302,30.2,59,147.5,M5StackUnitCam,off
46313,3907,4.88375,234,23.4,46,115,M5StackUnitCam,off
47313,3888,4.86,788,78.8,153,382.5,M5StackUnitCam,off
48313,3888,4.86,780,78,151,377.5,M5StackUnitCam,off
49313,3878,4.8475,962,96.2,187,467.5,M5StackUnitCam,off
50313,3857,4.82125,1578,157.8,304,760,M5StackUnitCam,off
51313,3853,4.81625,1533,153.3,295,737.5,M5StackUnitCam,off
52313,3842,4.8025,1901,190.1,365,912.5,M5StackUnitCam,off
53313,3847,4.80875,1805,180.5,347,867.5,M5StackUnitCam,off
54313,3853,4.81625,1576,157.6,304,760,M5StackUnitCam,off
55313,3847,4.80875,1856,185.6,357,892.5,M5StackUnitCam,off
56313,3847,4.80875,1773,177.3,341,852.5,M5StackUnitCam,off
57313,3849,4.81125,1854,185.4,357,892.5,M5StackUnitCam,off
58313,3863,4.82875,1327,132.7,256,640,M5StackUnitCam,off
59313,3866,4.8325,1313,131.3,254,635,M5StackUnitCam,off
60313,3866,4.8325,1319,131.9,255,637.5,M5StackUnitCam,off
61313,3866,4.8325,1321,132.1,255,637.5,M5StackUnitCam,off
62313,3866,4.8325,1320,132,255,637.5,M5StackUnitCam,off
63313,3862,4.8275,1325,132.5,256,640,M5StackUnitCam,off
64313,3866,4.8325,1326,132.6,256,640,M5StackUnitCam,off
65313,3865,4.83125,1320,132,255,637.5,M5StackUnitCam,off
66313,3866,4.8325,1320,132,255,637.5,M5StackUnitCam,off
67313,3866,4.8325,1316,131.6,254,635,M5StackUnitCam,off
68313,3865,4.83125,1312,131.2,253,632.5,M5StackUnitCam,off
69314,3865,4.83125,1330,133,257,642.5,M5StackUnitCam,off
70313,3910,4.8875,274,27.4,54,135,M5StackUnitCam,off
71313,3906,4.8825,279,27.9,54,135,M5StackUnitCam,off
72313,3905,4.88125,279,27.9,54,135,M5StackUnitCam,off
73313,3910,4.8875,279,27.9,54,135,M5StackUnitCam,off
74313,3909,4.88625,279,27.9,54,135,M5StackUnitCam,off
75313,3908,4.885,279,27.9,54,135,M5StackUnitCam,off
76313,3905,4.88125,279,27.9,54,135,M5StackUnitCam,off
77313,3910,4.8875,279,27.9,54,135,M5StackUnitCam,off
78313,3909,4.88625,279,27.9,54,135,M5StackUnitCam,off
79313,3908,4.885,279,27.9,54,135,M5StackUnitCam,off
80313,3906,4.8825,279,27.9,54,135,M5StackUnitCam,off
81313,3908,4.885,279,27.9,54,135,M5StackUnitCam,off
82313,3908,4.885,279,27.9,54,135,M5StackUnitCam,off
83313,3909,4.88625,279,27.9,54,135,M5StackUnitCam,off
84313,3909,4.88625,280,28,54,135,M5StackUnitCam,off
85313,3908,4.885,279,27.9,54,135,M5StackUnitCam,off
86313,3908,4.885,280,28,54,135,M5StackUnitCam,off
87313,3893,4.86625,279,27.9,54,135,M5StackUnitCam,off
88313,3909,4.88625,279,27.9,54,135,M5StackUnitCam,off
89313,3907,4.88375,279,27.9,54,135,M5StackUnitCam,off
90313,3905,4.88125,280,28,54,135,M5StackUnitCam,off
91313,3905,4.88125,279,27.9,54,135,M5StackUnitCam,off
93713,3905,4.88125,279,27.9,54,135,M5StackUnitCam,off
93917,3907,4.88375,279,27.9,54,135,M5StackUnitCam,off
94313,3907,4.88375,278,27.8,54,135,M5StackUnitCam,off
95313,3906,4.8825,278,27.8,54,135,M5StackUnitCam,off
96313,3908,4.885,278,27.8,54,135,M5StackUnitCam,off
97313,3905,4.88125,278,27.8,54,135,M5StackUnitCam,off
98313,3908,4.885,279,27.9,54,135,M5StackUnitCam,off
99313,3909,4.88625,278,27.8,54,135,M5StackUnitCam,off
100314,3908,4.885,278,27.8,54,135,M5StackUnitCam,off
101313,3912,4.89,173,17.3,34,85,M5StackUnitCam,off
102313,3921,4.90125,0,0,0,0,M5StackUnitCam,off
103313,3908,4.885,303,30.3,59,147.5,M5StackUnitCam,off
104314,3897,4.87125,235,23.5,46,115,M5StackUnitCam,off
105313,3888,4.86,782,78.2,152,380,M5StackUnitCam,off
106313,3886,4.8575,777,77.7,151,377.5,M5StackUnitCam,off
107313,3885,4.85625,775,77.5,151,377.5,M5StackUnitCam,off
108313,3844,4.805,1765,176.5,339,847.5,M5StackUnitCam,off
109313,3857,4.82125,1489,148.9,287,717.5,M5StackUnitCam,off
110313,3851,4.81375,1667,166.7,321,802.5,M5StackUnitCam,off
111313,3854,4.8175,1636,163.6,315,787.5,M5StackUnitCam,off
112313,3843,4.80375,1939,193.9,372,930,M5StackUnitCam,off
113313,3837,4.79625,1986,198.6,381,952.5,M5StackUnitCam,off
114313,3861,4.82625,1522,152.2,294,735,M5StackUnitCam,off
115313,3851,4.81375,1702,170.2,327,817.5,M5StackUnitCam,off
116313,3866,4.8325,1315,131.5,254,635,M5StackUnitCam,off
117313,3865,4.83125,1317,131.7,254,635,M5StackUnitCam,off
118313,3865,4.83125,1323,132.3,256,640,M5StackUnitCam,off
119313,3862,4.8275,1327,132.7,256,640,M5StackUnitCam,off
120314,3866,4.8325,1325,132.5,256,640,M5StackUnitCam,off
121313,3866,4.8325,1321,132.1,255,637.5,M5StackUnitCam,off
122313,3864,4.83,1321,132.1,255,637.5,M5StackUnitCam,off
123313,3863,4.82875,1316,131.6,254,635,M5StackUnitCam,off
124313,3862,4.8275,1323,132.3,255,637.5,M5StackUnitCam,off
125313,3864,4.83,1332,133.2,257,642.5,M5StackUnitCam,off
126313,3860,4.825,1313,131.3,253,632.5,M5StackUnitCam,off
127313,3862,4.8275,1316,131.6,254,635,M5StackUnitCam,off
128313,3865,4.83125,1320,132,255,637.5,M5StackUnitCam,off
129313,3865,4.83125,1323,132.3,256,640,M5StackUnitCam,off
130313,3864,4.83,1331,133.1,257,642.5,M5StackUnitCam,off
131313,3862,4.8275,1325,132.5,256,640,M5StackUnitCam,off
132313,3866,4.8325,1321,132.1,255,637.5,M5StackUnitCam,off
133313,3866,4.8325,1323,132.3,256,640,M5StackUnitCam,off
134313,3865,4.83125,1316,131.6,254,635,M5StackUnitCam,off
135313,3865,4.83125,1330,133,257,642.5,M5StackUnitCam,off
136313,3863,4.82875,1317,131.7,254,635,M5StackUnitCam,off
137313,3866,4.8325,1320,132,255,637.5,M5StackUnitCam,off
138313,3909,4.88625,235,23.5,46,115,M5StackUnitCam,off
139313,3909,4.88625,235,23.5,46,115,M5StackUnitCam,off
140313,3907,4.88375,235,23.5,46,115,M5StackUnitCam,off
141313,3906,4.8825,235,23.5,46,115,M5StackUnitCam,off
142313,3909,4.88625,235,23.5,46,115,M5StackUnitCam,off
143313,3908,4.885,235,23.5,46,115,M5StackUnitCam,off
144313,3908,4.885,235,23.5,46,115,M5StackUnitCam,off
145313,3908,4.885,235,23.5,46,115,M5StackUnitCam,off
146313,3909,4.88625,234,23.4,46,115,M5StackUnitCam,off
147313,3910,4.8875,233,23.3,46,115,M5StackUnitCam,off
148313,3906,4.8825,232,23.2,46,115,M5StackUnitCam,off
149313,3909,4.88625,233,23.3,46,115,M5StackUnitCam,off
150313,3910,4.8875,233,23.3,46,115,M5StackUnitCam,off
151313,3910,4.8875,232,23.2,46,115,M5StackUnitCam,off
152313,3911,4.88875,232,23.2,46,115,M5StackUnitCam,off
153313,3905,4.88125,232,23.2,46,115,M5StackUnitCam,off
154313,3910,4.8875,231,23.1,46,115,M5StackUnitCam,off
155313,3910,4.8875,231,23.1,44,110,M5StackUnitCam,off
156313,3910,4.8875,230,23,44,110,M5StackUnitCam,off
157313,3908,4.885,229,22.9,44,110,M5StackUnitCam,off
158313,3906,4.8825,230,23,45,112.5,M5StackUnitCam,off
159313,3910,4.8875,229,22.9,44,110,M5StackUnitCam,off
160313,3910,4.8875,229,22.9,44,110,M5StackUnitCam,off
